YACIMIENTO_SEN,YAC_SEN,FORMACION,NOMBRE_CORTO,NOM_DE_ESTADO_TOW,NOMBRE_DE_ESTADO_TOW,Petroleo_Diario_m3,Petroleo_Mensual_m3,Petroleo_Acumulado_m3,Gas_Diario_m3,Gas_Mensual_m3,Gas_Acumulado_m3,Agua_diaria_m3,Agua_Mensual__m3,Agua_Acumulada__m3,TEF_de_Produccion_dias,TEF_de_Produccion_Acum,GOR
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2019,Abandono_Permanente,AP,NA,NA,9025,NA,NA,79169,NA,NA,2776,NA,63.1,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_202,Abandono_Permanente,AP,NA,NA,10864,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2020,Abandono_Permanente,AP,NA,NA,23465,NA,NA,2421644,NA,NA,25501,NA,49.8,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2023,Reserva_Recuperacion_Secundaria,RRS,NA,NA,21044,NA,NA,19677,NA,NA,65959,NA,109.2,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2026,Abandono_Permanente,AP,NA,NA,18544,NA,NA,12320,NA,NA,50785,NA,2.5,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2027,Reserva_Recuperacion_Secundaria,RRS,NA,NA,12578,NA,NA,832,NA,NA,56595,NA,32.6,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_203,Abandono_Permanente,AP,NA,NA,6713,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2032,Abandono_Permanente,AP,NA,NA,22337,NA,NA,111952,NA,NA,349739,NA,154,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2034,Abandono_Permanente,AP,NA,NA,13463.657,NA,NA,404705.794,NA,NA,55545.448,NA,159.2,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2036,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2037,Abandono_Permanente,AP,NA,NA,1189,NA,NA,NA,NA,NA,991,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2038,Abandono_Permanente,AP,NA,NA,21817,NA,NA,88630,NA,NA,10015,NA,137.4,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2039,A_Abandonar,AA,NA,NA,31750,NA,NA,848657,NA,NA,20893,NA,50,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_204,Abandono_Permanente,AP,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2046,Reserva_Recuperacion_Secundaria,RRS,NA,NA,9584.988,NA,NA,1011353,NA,NA,59890.876,NA,197.61,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_205,Abandono_Permanente,AP,NA,NA,10189,NA,NA,NA,NA,NA,NA,NA,NA,NA
